pregunta;entrevista;estado;cita_literal;linea;transcripcion;nota
11;ENTR-15;PREGUNTADA;Sería lo lo primordial, atender lo que está atrasado, pendiente como quiera en el lote. Lo segundo, el personal, si el personal está disponible para el siguiente día, porque muchas veces los trabajadores faltan. Y aparte de eso, los equipos, si los equipos están en una buena condición.;30;2026-09-01_ENTR-15_Transcripcion.md;
12;ENTR-15;PARCIAL;al recibir la notificación iría directamente al sector donde está pasando aquello.;34;2026-09-01_ENTR-15_Transcripcion.md;"Ante un aviso de posible plaga; no valora un diagnóstico automático."
13;ENTR-15;PARCIAL;Sí, cuando se trata de sacar las herramientas o el equipo, por ejemplo de fertilización, en lo que se respecto a bodega. Eh, aquello cuando no se no se llega a tiempo, no no se pasa el papeleo, como quiera, no te dan el producto que tú requieres, lo cual eso te atrasa en la labor;18;2026-09-01_ENTR-15_Transcripcion.md;"Problema por información que llega tarde; no es 'el principal problema' de la gestión."
1;ENTR-16;NO_ABORDADA;;;2026-09-01_ENTR-16_Transcripcion.md;
2;ENTR-16;PREGUNTADA;dependerá mucho de la organización de una finca, si es empresarial o si es familiar.;18;2026-09-01_ENTR-16_Transcripcion.md;
3;ENTR-16;NO_ABORDADA;;;2026-09-01_ENTR-16_Transcripcion.md;"No se formuló; solo se pregunta por reingreso o carencia en la guía A.2."
4;ENTR-16;NO_ABORDADA;;;2026-09-01_ENTR-16_Transcripcion.md;
5;ENTR-16;NO_ABORDADA;;;2026-09-01_ENTR-16_Transcripcion.md;
6;ENTR-16;PREGUNTADA;Dependerá mucho de los dos ámbitos, ¿no?, si es empresarial o si es doméstico.;22;2026-09-01_ENTR-16_Transcripcion.md;
7;ENTR-16;NO_ABORDADA;;;2026-09-01_ENTR-16_Transcripcion.md;No se formuló ni se abordó el reporte a organismos de control.
8;ENTR-16;NO_ABORDADA;;;2026-09-01_ENTR-16_Transcripcion.md;
9;ENTR-16;NO_ABORDADA;;;2026-09-01_ENTR-16_Transcripcion.md;
10;ENTR-16;PARCIAL;Una optimización de procesos en el área agrícola vendría muy bien ahora en la actualidad.;30;2026-09-01_ENTR-16_Transcripcion.md;Habla de soluciones informáticas en general.
11;ENTR-16;PREGUNTADA;lo que más interesaría en ese entonces en su implementación y en el análisis sobre todo es el tema de la trazabilidad, que comprende entre cosechas, cultivos y manejos del fruto.;42;2026-09-01_ENTR-16_Transcripcion.md;
12;ENTR-16;NO_ABORDADA;;;2026-09-01_ENTR-16_Transcripcion.md;
13;ENTR-16;PREGUNTADA;el problema más común que existe son las enfermedades.;26;2026-09-01_ENTR-16_Transcripcion.md;
